pred: acc=0.5608108108108109, mae=5.094594594594595,5.094594594594595, rmse=52.78378378378378,r2=-0.7350334873516404, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5202702702702703, mae=5.297297297297297,5.297297297297297, rmse=53.63513513513514,r2=-0.8520677690354086, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5540540540540541, mae=5.0608108108108105,5.0608108108108105, rmse=49.722972972972975,r2=-0.7312541726275632, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.527027027027027, mae=5.135135135135135,5.135135135135135, rmse=51.36486486486486,r2=-0.7778887436850832, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.527027027027027, mae=5.20945945945946,5.20945945945946, rmse=53.07432432432432,r2=-0.9694454232510235, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5503355704697986, mae=5.080536912751678,5.080536912751678, rmse=49.51006711409396,r2=-0.8866360000686566, acc_naive=0.1342281879194631, mae_naive=4.590604026845638
pred: acc=0.5743243243243243, mae=5.101351351351352,5.101351351351352, rmse=51.6554054054054,r2=-1.005452044694005, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.4797297297297297, mae=5.3175675675675675,5.3175675675675675, rmse=55.41216216216216,r2=-0.9127395360564801, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5405405405405406, mae=5.054054054054054,5.054054054054054, rmse=50.33783783783784,r2=-0.9079458521298702, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5472972972972973, mae=5.141891891891892,5.141891891891892, rmse=51.62837837837838,r2=-0.9794366611354997, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.4797297297297297, mae=5.331081081081081,5.331081081081081, rmse=54.49324324324324,r2=-1.0052347577160594, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.527027027027027, mae=5.175675675675675,5.175675675675675, rmse=51.33783783783784,r2=-0.8504536022419291, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5337837837837838, mae=5.054054054054054,5.054054054054054, rmse=51.972972972972975,r2=-1.0413610077554134, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5472972972972973, mae=5.04054054054054,5.04054054054054, rmse=50.62162162162162,r2=-0.8355358452398096, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5540540540540541, mae=5.27027027027027,5.27027027027027, rmse=57.25675675675676,r2=-0.5884772098878952, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5405405405405406, mae=5.148648648648648,5.148648648648648, rmse=49.83783783783784,r2=-0.8941863390680445, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5540540540540541, mae=5.168918918918919,5.168918918918919, rmse=52.42567567567568,r2=-0.8663567806527108, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5, mae=5.27027027027027,5.27027027027027, rmse=53.986486486486484,r2=-0.9636046023124476, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5337837837837838, mae=5.013513513513513,5.013513513513513, rmse=49.770270270270274,r2=-1.0469294218597147, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.4797297297297297, mae=5.263513513513513,5.263513513513513, rmse=53.817567567567565,r2=-1.0402575374710095, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5878378378378378, mae=5.047297297297297,5.047297297297297, rmse=51.16891891891892,r2=-0.6674164658276058, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5202702702702703, mae=5.20945945945946,5.20945945945946, rmse=52.101351351351354,r2=-0.751295177764683, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5, mae=5.0675675675675675,5.0675675675675675, rmse=50.9054054054054,r2=-0.9186217980153586, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5202702702702703, mae=5.1891891891891895,5.1891891891891895, rmse=49.58108108108108,r2=-0.6974986675086239, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5202702702702703, mae=5.108108108108108,5.108108108108108, rmse=50.91891891891892,r2=-0.828829286769565, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5067567567567568, mae=5.027027027027027,5.027027027027027, rmse=49.63513513513514,r2=-0.9905417009192818, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.527027027027027, mae=5.027027027027027,5.027027027027027, rmse=51.17567567567568,r2=-0.9029278503124432, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5302013422818792, mae=5.1879194630872485,5.1879194630872485, rmse=51.644295302013425,r2=-1.0090116452253879, acc_naive=0.1342281879194631, mae_naive=4.590604026845638
pred: acc=0.527027027027027, mae=5.054054054054054,5.054054054054054, rmse=51.445945945945944,r2=-0.7992096628693228, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5540540540540541, mae=4.993243243243243,4.993243243243243, rmse=50.75,r2=-1.0011016943050328, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5202702702702703, mae=5.121621621621622,5.121621621621622, rmse=50.25675675675676,r2=-0.8994559543919647, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5337837837837838, mae=5.047297297297297,5.047297297297297, rmse=50.11486486486486,r2=-0.9414856738592148, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.527027027027027, mae=5.033783783783784,5.033783783783784, rmse=49.479729729729726,r2=-0.9140094093047568, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5067567567567568, mae=5.0608108108108105,5.0608108108108105, rmse=51.0472972972973,r2=-0.9632610634696557, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5337837837837838, mae=4.986486486486487,4.986486486486487, rmse=50.689189189189186,r2=-0.8968426843248101, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5369127516778524, mae=5.006711409395973,5.006711409395973, rmse=49.79865771812081,r2=-0.8717578860401174, acc_naive=0.1342281879194631, mae_naive=4.590604026845638
pred: acc=0.527027027027027, mae=4.95945945945946,4.95945945945946, rmse=49.986486486486484,r2=-0.9598508592775299, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.49324324324324326, mae=5.121621621621622,5.121621621621622, rmse=50.486486486486484,r2=-0.9691343405835167, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5337837837837838, mae=5.25,5.25, rmse=53.75,r2=-0.9567414124357636, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5167785234899329, mae=5.046979865771812,5.046979865771812, rmse=48.81879194630873,r2=-0.8570366258190094, acc_naive=0.1342281879194631, mae_naive=4.590604026845638
pred: acc=0.5234899328859061, mae=5.046979865771812,5.046979865771812, rmse=51.59731543624161,r2=-0.8691677844026071, acc_naive=0.1342281879194631, mae_naive=4.590604026845638
