,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all
181,0,1,59,3,1,1,20,28,0.8484848484848485,0,1,27.857142857142858,28.410714285714285,-1,2.6666666666666665,-3,-4.0
182,-9,1,59,4,1,1,20,28,0.8484848484848485,0,1,28.5,28.413793103448278,0,2.0,1,-2.3333333333333335
183,3,1,59,5,1,0,20,19,0.5757575757575758,0,0,26.444444444444443,27.659574468085108,-9,-0.2,-9,-4.0
184,1,1,59,6,1,0,20,22,0.6666666666666666,0,0,22.70967741935484,26.432,3,0.3333333333333333,12,-0.8
185,0,1,59,7,1,1,20,23,0.696969696969697,0,0,23.296296296296298,25.875,1,0.42857142857142855,-2,-1.0
186,-1,1,59,8,1,1,20,23,0.696969696969697,0,0,23.0,25.837662337662337,0,0.375,-1,-1.0
187,-2,1,59,9,1,1,20,22,0.6666666666666666,0,0,23.375,25.413978494623656,-1,0.2222222222222222,-1,-1.0
188,2,1,59,10,1,0,20,20,0.6060606060606061,0,0,20.833333333333332,25.270833333333332,-2,0.0,-1,-1.0
189,-4,1,60,0,0,0,31,31,0.9393939393939394,0,1,31.0,31.0,0,0.0,0,0.0
190,-3,1,60,1,1,0,31,27,0.8181818181818182,0,0,30.233333333333334,30.233333333333334,-4,-4.0,0,0.0
191,-11,1,60,2,1,1,31,24,0.7272727272727273,0,0,24.526315789473685,28.020408163265305,-3,-3.5,0,0.0
192,-3,1,60,3,1,0,31,13,0.3939393939393939,0,0,20.11627906976744,24.32608695652174,-11,-6.0,-8,-3.5
193,8,1,60,4,1,0,31,10,0.30303030303030304,0,0,15.485714285714286,21.88976377952756,-3,-5.25,8,0.3333333333333333
194,-15,1,60,5,1,1,31,18,0.5454545454545454,0,0,15.074074074074074,20.694805194805195,8,-2.6,11,3.0
195,13,1,60,6,1,0,31,3,0.09090909090909091,1,0,10.68421052631579,18.713541666666668,-15,-4.666666666666667,-23,-2.2
196,-2,1,64,0,0,0,26,26,0.7878787878787878,0,0,26.0,26.0,0,0.0,0,0.0
197,-1,1,64,1,1,0,26,24,0.7272727272727273,0,0,24.333333333333332,24.333333333333332,-2,-2.0,0,0.0
198,-15,1,64,2,1,1,26,23,0.696969696969697,0,0,22.63157894736842,23.6734693877551,-1,-1.5,0,0.0
199,1,1,64,3,1,0,26,8,0.24242424242424243,0,0,16.25581395348837,20.206521739130434,-15,-6.0,-14,-6.5
200,7,1,64,4,1,0,26,9,0.2727272727272727,0,0,14.228571428571428,18.559055118110237,1,-4.25,16,1.0
201,-14,1,64,5,1,1,26,16,0.48484848484848486,0,0,14.576923076923077,17.88235294117647,7,-2.0,6,2.25
202,15,1,64,6,1,0,26,2,0.06060606060606061,1,0,7.1,15.647668393782384,-14,-4.0,-21,-2.4
203,1,1,66,0,0,0,27,27,0.8181818181818182,0,0,27.0,27.0,0,0.0,0,0.0
204,0,1,66,1,1,0,27,28,0.8484848484848485,0,1,27.862068965517242,27.862068965517242,1,1.0,0,0.0
205,-6,1,66,2,1,1,27,28,0.8484848484848485,0,1,29.2,28.408163265306122,0,0.5,0,0.0
206,-17,1,66,3,1,1,27,22,0.6666666666666666,0,0,25.176470588235293,27.575757575757574,-6,-1.6666666666666667,-6,-3.5
207,2,1,66,4,1,0,27,5,0.15151515151515152,1,0,19.147058823529413,24.71,-17,-5.5,-11,-6.0
208,3,1,66,5,1,0,27,7,0.21212121212121213,0,0,16.5,22.71969696969697,2,-4.0,19,0.25
209,1,1,66,6,1,0,27,10,0.30303030303030304,0,0,13.6875,20.95731707317073,3,-2.8333333333333335,1,0.4
210,0,1,88,0,0,0,22,22,0.6666666666666666,0,0,22.0,22.0,0,0.0,0,0.0
211,-3,1,88,1,1,0,22,22,0.6666666666666666,0,0,22.107142857142858,22.107142857142858,0,0.0,0,0.0
212,0,1,88,2,1,1,22,19,0.5757575757575758,0,0,21.0,21.67391304347826,-3,-1.5,0,0.0
213,0,1,88,3,1,1,22,19,0.5757575757575758,0,0,18.7,21.142857142857142,0,-1.0,3,0.0
214,0,1,88,4,1,0,22,19,0.5757575757575758,0,0,20.545454545454547,20.921348314606742,0,-0.75,0,0.0
215,3,1,88,5,1,0,22,19,0.5757575757575758,0,0,21.29032258064516,21.016666666666666,0,-0.6,0,0.0
216,-10,1,88,6,1,1,22,22,0.6666666666666666,0,0,23.352941176470587,21.306569343065693,3,0.0,3,0.6
217,6,1,88,7,1,0,22,12,0.36363636363636365,0,0,16.8,20.49700598802395,-10,-1.4285714285714286,-13,-1.6666666666666667
218,-4,1,88,8,1,1,22,18,0.5454545454545454,0,0,17.0,20.122994652406415,6,-0.5,16,0.8571428571428571
219,-2,1,98,0,0,0,12,12,0.36363636363636365,0,0,12.0,12.0,0,0.0,0,0.0
220,0,1,98,1,1,0,12,10,0.30303030303030304,0,0,10.071428571428571,10.071428571428571,-2,-2.0,0,0.0
221,-3,1,98,2,1,1,12,10,0.30303030303030304,0,0,10.444444444444445,10.217391304347826,0,-1.0,0,0.0
222,-1,1,98,3,1,0,12,7,0.21212121212121213,0,0,9.452380952380953,9.852272727272727,-3,-1.6666666666666667,-3,-0.5
223,1,1,98,4,1,0,12,6,0.18181818181818182,0,0,10.393939393939394,10.0,-1,-1.5,2,0.3333333333333333
224,5,1,98,5,1,0,12,7,0.21212121212121213,0,0,9.0,9.728915662650602,1,-1.0,2,0.75
0,0,2,1,0,0,0,1,1,0.03125,1,0,1.0,1.0,0,0.0,0,0.0
1,2,2,1,1,1,0,1,1,0.03125,1,0,1.0,1.0,0,0.0,0,0.0
2,1,2,1,2,1,0,1,3,0.09375,1,0,4.891891891891892,2.5483870967741935,2,1.0,0,0.0
3,6,2,1,3,1,0,1,4,0.125,1,0,10.173913043478262,5.071942446043166,1,1.0,-1,0.5
4,-1,2,1,4,1,1,1,10,0.3125,0,0,11.552631578947368,6.463276836158192,6,2.25,5,2.0
5,-2,2,1,5,1,1,1,9,0.28125,0,0,10.4375,7.07177033492823,-1,1.6,-7,-0.25
6,6,2,1,6,1,0,1,7,0.21875,0,0,7.846153846153846,7.117117117117117,-2,1.0,-1,-0.4
7,0,2,1,7,1,0,1,13,0.40625,0,0,7.6,7.127753303964758,6,1.7142857142857142,8,1.0
8,4,2,3,0,0,0,2,2,0.0625,1,0,2.0,2.0,0,0.0,0,0.0
9,0,2,4,0,0,0,19,19,0.59375,0,0,19.0,19.0,0,0.0,0,0.0
10,-10,2,5,0,0,0,15,15,0.46875,0,0,15.0,15.0,0,0.0,0,0.0
11,-2,2,5,1,1,0,15,5,0.15625,1,0,11.5625,11.5625,-10,-10.0,0,0.0
12,0,2,5,2,1,0,15,3,0.09375,1,0,10.135593220338983,10.878048780487806,-2,-6.0,0,0.0
13,1,2,5,3,1,1,15,3,0.09375,1,0,6.88,9.722543352601155,0,-4.0,2,5.0
14,0,2,5,4,1,1,15,4,0.125,1,0,3.28125,8.717073170731707,1,-2.75,1,3.6666666666666665
15,-2,2,6,0,0,0,4,4,0.125,1,0,4.0,4.0,0,0.0,0,0.0
16,-1,2,6,1,1,0,4,2,0.0625,1,0,4.492063492063492,4.492063492063492,-2,-2.0,0,0.0
