,carno,startlap,startrank,endrank,diff,sign,pred_endrank,pred_diff,pred_sign
3596,88,128,26.0,23.0,-3.0,-1,23.0,-3.0,-1
3597,98,128,18.0,13.0,-5.0,-1,15.0,-3.0,-1
3598,1,129,3.0,1.0,-2.0,-1,1.0,-2.0,-1
3599,3,129,15.0,12.0,-3.0,-1,10.0,-5.0,-1
3600,4,129,22.0,18.0,-4.0,-1,20.0,-2.0,-1
3601,6,129,6.0,3.0,-3.0,-1,3.0,-3.0,-1
3602,7,129,27.0,27.0,0.0,0,27.0,0.0,0
3603,9,129,8.0,17.0,9.0,1,12.0,4.0,1
3604,12,129,10.0,5.0,-5.0,-1,5.0,-5.0,-1
3605,14,129,19.0,24.0,5.0,1,23.0,4.0,1
3606,15,129,5.0,2.0,-3.0,-1,2.0,-3.0,-1
3607,17,129,23.0,20.0,-3.0,-1,22.0,-1.0,-1
3608,18,129,0.0,0.0,0.0,0,0.0,0.0,0
3609,19,129,11.0,7.0,-4.0,-1,7.0,-4.0,-1
3610,20,129,13.0,9.0,-4.0,-1,9.0,-4.0,-1
3611,21,129,26.0,26.0,0.0,0,26.0,0.0,0
3612,22,129,14.0,10.0,-4.0,-1,11.0,-3.0,-1
3613,23,129,20.0,15.0,-5.0,-1,16.0,-4.0,-1
3614,24,129,21.0,16.0,-5.0,-1,18.0,-3.0,-1
3615,25,129,12.0,8.0,-4.0,-1,8.0,-4.0,-1
3616,26,129,18.0,14.0,-4.0,-1,15.0,-3.0,-1
3617,27,129,17.0,19.0,2.0,1,21.0,4.0,1
3618,28,129,4.0,11.0,7.0,1,13.0,9.0,1
3619,29,129,7.0,4.0,-3.0,-1,4.0,-3.0,-1
3620,59,129,25.0,25.0,0.0,0,25.0,0.0,0
3621,60,129,2.0,22.0,20.0,1,19.0,17.0,1
3622,64,129,1.0,21.0,20.0,1,17.0,16.0,1
3623,66,129,9.0,6.0,-3.0,-1,6.0,-3.0,-1
3624,88,129,24.0,23.0,-1.0,-1,24.0,0.0,0
3625,98,129,16.0,13.0,-3.0,-1,14.0,-2.0,-1
3626,1,130,1.0,0.0,-1.0,-1,0.0,-1.0,-1
3627,3,130,12.0,12.0,0.0,0,11.0,-1.0,-1
