MyIdx,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
7147,27,77,11,4264.0558,-1.0,41.651200000000244
7224,27,78,11,4305.9588,0.0,41.90300000000025
7306,27,79,11,4347.5713,0.0,41.61249999999927
7387,27,80,11,4389.5333,0.0,41.962000000000444
7469,27,81,11,4431.4678,0.0,41.9345000000003
7553,27,82,11,4473.2637,0.0,41.795900000000074
7637,27,83,11,4515.1124,0.0,41.84869999999955
7722,27,84,11,4557.7574,0.0,42.64500000000044
7804,27,85,11,4600.2548,0.0,42.49739999999929
7888,27,86,11,4643.2136,0.0,42.95880000000034
7969,27,87,11,4685.9298,0.0,42.716199999999844
8052,27,88,11,4728.3182,0.0,42.38839999999982
8134,27,89,11,4770.641,0.0,42.322799999999916
8218,27,90,11,4812.8608,0.0,42.21980000000076
8303,27,91,10,4854.9525,-1.0,42.091699999999946
8415,27,92,9,4897.2674,-1.0,42.3148999999994
8509,27,93,8,4940.7695,-1.0,43.50210000000061
8640,27,94,5,4984.2312,-3.0,43.46169999999984
8842,27,95,22,5051.6509,17.0,67.41969999999947
8979,27,96,25,5107.1305,3.0,55.47960000000057
9072,27,97,23,5148.4735,-2.0,41.34299999999985
9168,27,98,23,5190.252,0.0,41.77850000000035
9253,27,99,21,5232.0475,-2.0,41.795499999999265
9340,27,100,21,5273.5495,0.0,41.50200000000041
9439,27,101,20,5314.594,-1.0,41.04449999999997
9535,27,102,19,5355.7961,-1.0,41.20209999999952
9630,27,103,18,5396.9543,-1.0,41.15820000000076
9730,27,104,17,5438.3437,-1.0,41.38940000000002
9817,27,105,17,5479.6,0.0,41.25630000000001
9926,27,106,16,5521.2586,-1.0,41.65859999999975
10023,27,107,13,5562.8696,-3.0,41.610999999999876
10125,27,108,13,5604.3725,0.0,41.50290000000041
10212,27,109,12,5646.0368,-1.0,41.66429999999946
10306,27,110,12,5688.955,0.0,42.91820000000007
10391,27,111,12,5731.2221,0.0,42.26710000000003
10472,27,112,12,5772.68,0.0,41.457900000000336
10555,27,113,12,5814.318,0.0,41.63799999999992
10639,27,114,12,5855.7845,0.0,41.46649999999954
10724,27,115,12,5897.6386,0.0,41.85410000000047
10811,27,116,12,5939.2927,0.0,41.654099999999744
10897,27,117,12,5981.0749,0.0,41.78219999999965
10983,27,118,12,6023.0679,0.0,41.99300000000039
11069,27,119,12,6065.0498,0.0,41.98189999999977
11154,27,120,12,6106.7335,0.0,41.6837000000005
11239,27,121,11,6148.7384,-1.0,42.00489999999991
11330,27,122,11,6190.7991,0.0,42.0607
11422,27,123,11,6232.7499,0.0,41.95079999999962
11509,27,124,11,6274.7969,0.0,42.04700000000048
11594,27,125,9,6316.4975,-2.0,41.70060000000012
11686,27,126,9,6358.3692,0.0,41.87169999999969
11785,27,127,8,6400.3177,-1.0,41.94849999999951
11877,27,128,7,6442.3177,-1.0,42.0
11978,27,129,5,6484.5351,-2.0,42.21740000000045
12139,27,130,18,6550.6911,13.0,66.15599999999995
12280,27,131,22,6605.7693,4.0,55.078199999999924
12370,27,132,20,6646.4562,-2.0,40.686899999999696
12460,27,133,19,6687.3334,-1.0,40.87720000000081
12555,27,134,17,6728.2907,-2.0,40.95729999999912
12644,27,135,17,6769.1319,0.0,40.841200000000754
12737,27,136,15,6810.3994,-2.0,41.26749999999993
12836,27,137,14,6851.8108,-1.0,41.41139999999996
12934,27,138,13,6894.496,-1.0,42.685199999999895
13040,27,139,13,6963.505999999999,0.0,69.00999999999931
13136,27,140,13,7041.8263,0.0,78.32030000000032
13234,27,141,11,7157.368,-2.0,115.54170000000067
13340,27,142,9,7262.0396,-2.0,104.67159999999967
13441,27,143,9,7365.4208,0.0,103.38119999999981
13533,27,144,9,7466.0073,0.0,100.58650000000034
13613,27,145,9,7540.0894,0.0,74.08209999999963
13679,27,146,5,7584.5199,-4.0,44.43050000000039
13783,27,147,5,7662.5581,0.0,78.03819999999996
13880,27,148,5,7757.4208,0.0,94.86269999999968
13969,27,149,5,7853.1291,0.0,95.70830000000024
14059,27,150,5,7940.0029,0.0,86.8738000000003
14148,27,151,5,8027.5104,0.0,87.50749999999971
14239,27,152,5,8117.0701,0.0,89.5596999999998
14325,27,153,5,8193.1872,0.0,76.11710000000039
14397,27,154,3,8236.007,-2.0,42.819799999999304
14493,27,155,3,8315.2446,0.0,79.23760000000038
14599,27,156,3,8416.0992,0.0,100.85460000000057
14694,27,157,3,8522.2947,0.0,106.19549999999981
14798,27,158,3,8616.9167,0.0,94.62199999999939
14898,27,159,3,8709.773000000001,0.0,92.85630000000128
14986,27,160,3,8797.9218,0.0,88.14879999999903
15077,27,161,2,8876.0785,-1.0,78.15669999999955
15155,27,162,3,8918.078000000001,1.0,41.99950000000172
15208,27,163,3,8958.6865,0.0,40.60849999999846
15283,27,164,3,8999.6636,0.0,40.977100000000064
15357,27,165,3,9040.8162,0.0,41.15259999999944
15464,27,166,3,9081.9503,0.0,41.134100000001126
15547,27,167,3,9123.0155,0.0,41.065199999999095
15627,27,168,3,9164.1016,0.0,41.08610000000044
15718,27,169,3,9205.059000000001,0.0,40.957400000001144
15799,27,170,3,9246.1756,0.0,41.11659999999938
15884,27,171,2,9287.1087,-1.0,40.933100000000195
15984,27,172,2,9328.4243,0.0,41.315599999999904
16059,27,173,1,9369.2749,-1.0,40.85059999999976
16230,27,174,9,9433.2333,8.0,63.95839999999953
16334,27,175,12,9488.1753,3.0,54.94200000000092
16411,27,176,10,9529.7926,-2.0,41.61729999999989
16494,27,177,9,9571.3313,-1.0,41.53869999999915
16580,27,178,9,9612.2803,0.0,40.949000000000524
16662,27,179,9,9652.6078,0.0,40.32749999999942
16751,27,180,8,9693.113000000001,-1.0,40.50520000000142
16836,27,181,8,9733.7816,0.0,40.66859999999906
16929,27,182,8,9775.451,0.0,41.66939999999886
17010,27,183,7,9816.7231,-1.0,41.27210000000014
