,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
721,2,5,9,4,1,0,1,1,0.047619047619047616,1,0,2.0327868852459017,1.5299145299145298,-1,0.0,-2,-0.3333333333333333,0,0,0,-5,-2,-4
722,-5,5,10,0,0,0,12,12,0.5714285714285714,0,0,12.0,12.0,0,0.0,0,0.0,0,0,0,0,0,0
723,0,5,10,1,1,0,12,7,0.3333333333333333,0,0,7.333333333333333,7.333333333333333,-5,-5.0,0,0.0,0,0,1,1,-6,0
724,-2,5,10,2,1,0,12,7,0.3333333333333333,0,0,6.982758620689655,7.156521739130435,0,-2.5,0,0.0,1,-1,1,-2,1,0
725,-1,5,10,3,1,1,12,5,0.23809523809523808,1,0,6.637931034482759,6.982658959537572,-2,-2.3333333333333335,-2,1.5,0,1,1,-2,2,-3
726,4,5,10,4,1,0,12,4,0.19047619047619047,1,0,4.416666666666667,6.425339366515837,-1,-2.0,1,1.3333333333333333,2,1,-1,-2,-3,0
727,-2,5,12,0,0,0,4,4,0.19047619047619047,1,0,4.0,4.0,0,0.0,0,0.0,0,0,0,0,0,0
728,0,5,12,1,1,0,4,2,0.09523809523809523,1,0,2.0344827586206895,2.0344827586206895,-2,-2.0,0,0.0,0,0,0,1,1,0
729,-1,5,12,2,1,0,4,2,0.09523809523809523,1,0,2.0,2.0172413793103448,0,-1.0,0,0.0,0,0,0,1,0,-1
730,0,5,12,3,1,1,4,1,0.047619047619047616,1,0,2.6315789473684212,2.2196531791907512,-1,-1.0,-1,0.5,0,0,0,1,1,0
731,0,5,12,4,1,0,4,1,0.047619047619047616,1,0,1.0,1.9295154185022025,0,-0.75,1,0.6666666666666666,0,0,0,1,2,-2
732,0,5,14,0,0,0,15,15,0.7142857142857143,0,0,15.0,15.0,0,0.0,0,0.0,0,0,0,0,0,0
733,-3,5,14,1,1,0,15,15,0.7142857142857143,0,0,14.415094339622641,14.415094339622641,0,0.0,0,0.0,0,-6,0,0,0,1
734,-2,5,14,2,1,0,15,12,0.5714285714285714,0,0,12.87037037037037,13.63551401869159,-3,-1.5,0,0.0,0,1,-6,0,0,-8
735,2,5,14,3,1,0,15,10,0.47619047619047616,0,0,11.617021276595745,13.019480519480519,-2,-1.6666666666666667,1,-1.0,-1,0,-2,-3,-3,-4
736,1,5,14,4,1,0,15,12,0.5714285714285714,0,0,13.88135593220339,13.258215962441314,2,-0.75,4,0.6666666666666666,3,7,7,5,7,2
737,0,5,15,0,0,0,7,7,0.3333333333333333,0,0,7.0,7.0,0,0.0,0,0.0,0,0,0,0,0,0
738,-4,5,15,1,1,0,7,7,0.3333333333333333,0,0,10.779661016949152,10.779661016949152,0,0.0,0,0.0,-6,-5,0,0,1,0
739,7,5,15,2,1,0,7,3,0.14285714285714285,1,0,11.806451612903226,11.305785123966942,-4,-2.0,0,0.0,-8,-1,0,-4,0,0
740,0,5,15,3,1,1,7,10,0.47619047619047616,0,0,12.339285714285714,11.63276836158192,7,1.0,11,3.5,7,-3,1,7,3,-5
741,0,5,18,0,0,0,9,9,0.42857142857142855,0,0,9.0,9.0,0,0.0,0,0.0,0,0,0,0,0,0
742,0,5,19,0,0,0,21,21,1.0,0,1,21.0,21.0,0,0.0,0,0.0,0,0,0,0,0,0
743,-13,5,19,1,1,1,21,21,1.0,0,1,21.0,21.0,0,0.0,0,0.0,0,0,0,0,0,0
744,-4,5,19,2,1,0,21,8,0.38095238095238093,0,0,18.816666666666666,18.816666666666666,-13,-13.0,0,0.0,0,0,-8,-6,1,0
745,7,5,19,3,1,0,21,4,0.19047619047619047,1,0,15.245901639344263,17.016528925619834,-4,-8.5,0,0.0,-4,-8,-1,0,0,-1
746,0,5,19,4,1,1,21,11,0.5238095238095238,0,0,13.357142857142858,15.858757062146893,7,-3.3333333333333335,11,10.0,7,7,-3,3,-5,-2
747,5,5,20,0,0,0,11,11,0.5238095238095238,0,0,11.0,11.0,0,0.0,0,0.0,0,0,0,0,0,0
748,0,5,20,1,1,0,11,16,0.7619047619047619,0,1,15.363636363636363,15.363636363636363,5,5.0,0,0.0,0,0,-6,-1,0,-1
749,-5,5,20,2,1,0,11,16,0.7619047619047619,0,1,15.938775510204081,15.634615384615385,0,2.5,0,0.0,-8,0,0,-13,-1,1
750,3,5,20,3,1,0,11,11,0.5238095238095238,0,0,13.69047619047619,15.075342465753424,-5,0.0,-5,-5.0,-3,-1,0,-3,-3,-4
751,-2,5,20,4,1,0,11,14,0.6666666666666666,0,0,15.0,15.056701030927835,3,0.75,8,-0.6666666666666666,-2,7,3,0,2,-2
752,0,5,21,0,0,0,14,14,0.6666666666666666,0,0,14.0,14.0,0,0.0,0,0.0,0,0,0,0,0,0
753,-3,5,21,1,1,0,14,14,0.6666666666666666,0,0,14.071428571428571,14.071428571428571,0,0.0,0,0.0,-6,0,0,0,5,-1
754,-3,5,21,2,1,0,14,11,0.5238095238095238,0,0,13.76271186440678,13.91304347826087,-3,-1.5,0,0.0,0,1,-2,-8,-13,0
755,-4,5,21,3,1,1,14,8,0.38095238095238093,0,0,11.5,13.067796610169491,-3,-2.0,0,-1.5,1,2,-2,7,7,7
756,2,5,21,4,1,0,14,4,0.19047619047619047,1,0,6.839285714285714,11.570815450643776,-4,-2.5,-1,-1.3333333333333333,-2,-5,1,0,1,0
757,0,5,22,0,0,0,6,6,0.2857142857142857,0,0,6.0,6.0,0,0.0,0,0.0,0,0,0,0,0,0
758,-1,5,22,1,1,0,6,6,0.2857142857142857,0,0,5.875,5.875,0,0.0,0,0.0,0,1,0,0,-2,1
759,2,5,22,2,1,0,6,5,0.23809523809523808,1,0,5.245614035087719,5.557522123893805,-1,-0.5,0,0.0,1,1,-2,1,-5,-6
760,-5,5,22,3,1,1,6,7,0.3333333333333333,0,0,6.8,5.988439306358382,2,0.3333333333333333,3,1.0,-2,-2,0,-3,-3,-4
761,2,5,22,4,1,0,6,2,0.09523809523809523,1,0,5.433333333333334,5.84549356223176,-5,-1.0,-7,-1.6666666666666667,1,0,0,-2,-4,0
762,1,5,23,0,0,0,17,17,0.8095238095238095,0,1,17.0,17.0,0,0.0,0,0.0,0,0,0,0,0,0
763,1,5,23,1,1,0,17,18,0.8571428571428571,0,1,17.98,17.98,1,1.0,0,0.0,0,0,0,0,0,0
764,-4,5,23,2,1,0,17,19,0.9047619047619048,0,1,19.03921568627451,18.514851485148515,1,1.0,0,0.0,-1,-13,5,-1,0,0
765,4,5,23,3,1,0,17,15,0.7142857142857143,0,0,17.423076923076923,18.143790849673202,-4,-0.6666666666666666,-5,-2.5,-4,-4,-3,-1,-2,0
766,1,5,23,4,1,1,17,19,0.9047619047619048,0,1,15.8,18.069620253164558,4,0.5,8,1.0,-5,0,-2,0,0,0
767,-1,5,23,5,1,1,17,20,0.9523809523809523,0,1,19.5,18.13855421686747,1,0.6,-3,0.0,9,-2,-5,0,0,0
768,0,5,23,6,1,0,17,19,0.9047619047619048,0,1,19.105263157894736,18.385650224215247,-1,0.3333333333333333,-2,-0.4,-1,-2,5,0,0,0
769,-6,5,26,0,0,0,16,16,0.7619047619047619,0,1,16.0,16.0,0,0.0,0,0.0,0,0,0,0,0,0
770,-2,5,26,1,1,0,16,10,0.47619047619047616,0,0,10.482142857142858,10.482142857142858,-6,-6.0,0,0.0,1,-2,0,0,0,-6
771,-2,5,26,2,1,0,16,8,0.38095238095238093,0,0,9.101694915254237,9.773913043478261,-2,-4.0,0,0.0,0,1,-1,1,0,-3
772,-3,5,26,3,1,1,16,6,0.2857142857142857,0,0,7.655172413793103,9.063583815028903,-2,-3.3333333333333335,0,2.0,-2,0,1,2,-3,-3
773,2,5,26,4,1,0,16,3,0.14285714285714285,1,0,4.32258064516129,7.812765957446809,-3,-3.25,-1,1.0,-5,-1,0,-4,1,1
774,1,5,27,0,0,0,2,2,0.09523809523809523,1,0,2.0,2.0,0,0.0,0,0.0,0,0,0,0,0,0
775,-1,5,27,1,1,0,2,3,0.14285714285714285,1,0,3.7017543859649122,3.7017543859649122,1,1.0,0,0.0,0,0,0,1,0,0
776,1,5,27,2,1,0,2,2,0.09523809523809523,1,0,3.064516129032258,3.369747899159664,-1,0.0,0,0.0,0,0,0,0,0,0
777,-1,5,27,3,1,1,2,3,0.14285714285714285,1,0,2.9814814814814814,3.2485549132947975,1,0.3333333333333333,2,0.0,1,-1,0,0,-2,-2
778,0,5,28,0,0,0,5,5,0.23809523809523808,1,0,5.0,5.0,0,0.0,0,0.0,0,0,0,0,0,0
779,1,5,28,1,1,0,5,5,0.23809523809523808,1,0,5.254545454545455,5.254545454545455,0,0.0,0,0.0,1,0,0,0,0,-2
780,-3,5,28,2,1,0,5,6,0.2857142857142857,0,0,6.298245614035087,5.785714285714286,1,0.5,0,0.0,0,1,1,-5,0,-6
781,0,5,28,3,1,1,5,3,0.14285714285714285,1,0,5.017857142857143,5.529761904761905,-3,-0.6666666666666666,-4,-1.5,0,0,0,-1,0,0
782,16,5,28,4,1,1,5,3,0.14285714285714285,1,0,3.0,5.514792899408284,0,-0.5,3,0.0,0,0,0,-1,0,0
783,-8,5,30,0,0,0,13,13,0.6190476190476191,0,0,13.0,13.0,0,0.0,0,0.0,0,0,0,0,0,0
784,-3,5,30,1,1,0,13,5,0.23809523809523808,1,0,12.25,12.25,-8,-8.0,0,0.0,0,-5,1,0,0,-13
785,7,5,30,2,1,0,13,2,0.09523809523809523,1,0,13.080645161290322,12.672131147540984,-3,-5.5,0,0.0,-1,0,0,-4,-4,0
786,0,5,30,3,1,1,13,9,0.42857142857142855,0,0,11.163636363636364,12.203389830508474,7,-1.3333333333333333,10,7.5,-3,1,2,7,7,3
787,0,5,59,0,0,0,20,20,0.9523809523809523,0,1,20.0,20.0,0,0.0,0,0.0,0,0,0,0,0,0
788,-1,5,59,1,1,1,20,20,0.9523809523809523,0,1,20.0,20.0,0,0.0,0,0.0,0,0,0,0,0,0
789,-2,5,59,2,1,0,20,19,0.9047619047619048,0,1,19.89090909090909,19.89090909090909,-1,-1.0,0,0.0,0,-1,5,1,0,0
790,-2,5,59,3,1,0,20,17,0.8095238095238095,0,1,19.685185185185187,19.788990825688074,-2,-1.5,0,0.0,-1,-13,-8,0,0,1
791,2,5,59,4,1,0,20,15,0.7142857142857143,0,0,18.09090909090909,19.21951219512195,-2,-1.6666666666666667,0,-0.5,-1,-4,-4,0,-5,-2
792,0,5,59,5,1,0,20,17,0.8095238095238095,0,1,16.954545454545453,18.569565217391304,2,-0.75,4,1.0,-1,5,2,-1,-1,0
793,-6,5,88,0,0,0,19,19,0.9047619047619048,0,1,19.0,19.0,0,0.0,0,0.0,0,0,0,0,0,0
794,-2,5,88,1,1,0,19,13,0.6190476190476191,0,0,13.547169811320755,13.547169811320755,-6,-6.0,0,0.0,0,0,0,0,0,0
795,0,5,88,2,1,0,19,11,0.5238095238095238,0,0,11.807692307692308,12.685714285714285,-2,-4.0,0,0.0,1,-6,-2,0,0,0
796,9,5,88,3,1,0,19,11,0.5238095238095238,0,0,11.0,12.654205607476635,0,-2.6666666666666665,2,3.0,1,-6,-2,-3,0,0
797,-1,5,88,4,1,0,19,20,0.9523809523809523,0,1,19.60377358490566,14.95625,9,0.25,9,5.0,4,-2,-5,0,0,0
798,-1,5,88,5,1,1,19,19,0.9047619047619048,0,1,19.166666666666668,15.25,-1,0.0,-10,1.25,-2,0,-2,0,0,0
799,0,5,88,6,1,0,19,18,0.8571428571428571,0,1,18.01923076923077,15.892857142857142,-1,-0.16666666666666666,0,1.0,-2,5,2,-1,0,0
800,-2,5,98,0,0,0,10,10,0.47619047619047616,0,0,10.0,10.0,0,0.0,0,0.0,0,0,0,0,0,0
801,0,5,98,1,1,0,10,8,0.38095238095238093,0,0,7.773584905660377,7.773584905660377,-2,-2.0,0,0.0,0,0,0,0,0,0
802,0,5,98,2,1,0,10,8,0.38095238095238093,0,0,8.660714285714286,8.229357798165138,0,-1.0,0,0.0,-5,0,0,-6,1,-3
803,5,5,98,3,1,0,10,8,0.38095238095238093,0,0,9.472727272727273,8.646341463414634,0,-0.6666666666666666,0,1.0,-2,0,0,-1,-3,-3
804,1,5,98,4,1,0,10,13,0.6190476190476191,0,0,14.021739130434783,9.823809523809524,5,0.75,5,2.3333333333333335,-2,3,7,7,2,3
